redCorner,blueCorner,winner,event,referee,method_of_victory,red_Knockdowns,blue_Knockdowns,red_sig_str,blue_sig_str,red_sig_str_percentage,blue_sig_str_percentage,red_total_strikes,blue_total_strikes,red_takedowns,blue_takedowns,red_takedown_percentage,blue_takedown_percentage,red_subs_attempted,blue_subs_attempted,round,time,redCorner_height,blueCorner_height,redCorner_reach,blueCorner_reach,redCorner_stance,blueCorner_stance
Kaan Ofli,Mairon Santos,Mairon Santos,UFC Fight Night: Cannonier vs. Borralho,Chris Tognoni,KO/TKO,0,1,12 of 28,31 of 67,42%,46%,19 of 35,32 of 68,0 of 0,0 of 0,---,---,0,0,2,1:30,"5' 7""","5' 7""","66""","72""",Orthodox,Orthodox
Neil Magny,Michael Morales,Michael Morales,UFC Fight Night: Cannonier vs. Borralho,Dan Miragliotta,KO/TKO,0,1,5 of 11,34 of 40,45%,85%,13 of 19,39 of 45,0 of 2,0 of 0,0%,---,0,0,1,4:39,"6' 3""","6' 0""","80""","79""",Orthodox,Orthodox
Edmen Shahbazyan,Gerald Meerschaert,Gerald Meerschaert,UFC Fight Night: Cannonier vs. Borralho,Mark Smith,Submission,0,0,48 of 113,21 of 44,42%,47%,48 of 113,31 of 54,0 of 0,1 of 6,---,16%,0,1,2,4:12,"6' 3""","6' 1""","75""","77""",Orthodox,Southpaw
Dennis Buzukja,Francis Marshall,Francis Marshall,UFC Fight Night: Cannonier vs. Borralho,Keith Peterson,Decision - Split,0,1,66 of 145,57 of 150,45%,38%,76 of 156,82 of 175,0 of 1,1 of 6,0%,16%,0,0,3,5:00,"5' 9""","5' 9""","70""","72""",Switch,Orthodox
Zachary Reese,Jose Daniel Medina,Zachary Reese,UFC Fight Night: Cannonier vs. Borralho,Dan Miragliotta,Decision - Unanimous,0,0,75 of 129,32 of 74,58%,43%,101 of 162,53 of 97,5 of 9,1 of 2,55%,50%,1,0,3,5:00,"6' 4""","6' 0""","77""","74""",Switch,Orthodox
Viacheslav Borshchev,James Llontop,Viacheslav Borshchev,UFC Fight Night: Cannonier vs. Borralho,Chris Tognoni,Decision - Split,0,0,96 of 229,93 of 249,41%,37%,97 of 230,97 of 253,0 of 1,0 of 0,0%,---,0,0,3,5:00,"5' 11""","6' 0""","69""","73""",Orthodox,Orthodox
Jacqueline Cavalcanti,Josiane Nunes,Jacqueline Cavalcanti,UFC Fight Night: Cannonier vs. Borralho,Mark Smith,Decision - Split,0,0,91 of 171,52 of 153,53%,33%,91 of 171,52 of 153,0 of 0,0 of 0,---,---,0,0,3,5:00,"5' 8""","5' 2""","70""","67""",Orthodox,Southpaw
Wang Cong,Victoria Leonardo,Wang Cong,UFC Fight Night: Cannonier vs. Borralho,Chris Tognoni,KO/TKO,1,0,10 of 26,1 of 9,38%,11%,10 of 26,1 of 9,0 of 0,0 of 0,---,---,0,0,1,1:02,"5' 6""","5' 5""","66""","64""",Southpaw,Orthodox
Dricus Du Plessis,Israel Adesanya,Dricus Du Plessis,UFC 305: Du Plessis vs. Adesanya,Marc Goddard,Submission,0,0,90 of 197,97 of 203,45%,47%,99 of 206,105 of 211,4 of 9,0 of 1,44%,0%,2,0,4,3:38,"6' 1""","6' 4""","76""","80""",Switch,Switch
Kai Kara-France,Steve Erceg,Kai Kara-France,UFC 305: Du Plessis vs. Adesanya,Rich Mitchell,KO/TKO,2,0,18 of 51,9 of 29,35%,31%,18 of 51,9 of 29,0 of 0,0 of 0,---,---,0,0,1,4:04,"5' 4""","5' 8""","69""","68""",Orthodox,Orthodox
Mateusz Gamrot,Dan Hooker,Dan Hooker,UFC 305: Du Plessis vs. Adesanya,Jim Perdios,Decision - Split,0,0,64 of 129,65 of 143,49%,45%,88 of 154,82 of 162,5 of 15,0 of 0,33%,---,0,0,3,5:00,"5' 10""","6' 0""","70""","75""",Southpaw,Switch
Tai Tuivasa,Jairzinho Rozenstruik,Jairzinho Rozenstruik,UFC 305: Du Plessis vs. Adesanya,Marc Goddard,Decision - Split,0,0,37 of 126,91 of 184,29%,49%,37 of 126,92 of 185,0 of 0,0 of 0,---,---,0,0,3,5:00,"6' 2""","6' 2""","75""","78""",Southpaw,Orthodox
Li Jingliang,Carlos Prates,Carlos Prates,UFC 305: Du Plessis vs. Adesanya,Matt Wynne,KO/TKO,0,3,41 of 111,55 of 84,36%,65%,41 of 111,55 of 84,0 of 0,0 of 0,---,---,0,0,2,4:02,"6' 0""","6' 1""","71""","78""",Orthodox,Switch
Junior Tafa,Valter Walker,Valter Walker,UFC 305: Du Plessis vs. Adesanya,Steve Perceval,Submission,0,0,5 of 8,4 of 4,62%,100%,10 of 13,20 of 23,0 of 0,2 of 3,---,66%,0,1,1,4:56,"6' 3""","6' 6""","75""","78""",Orthodox,Orthodox
Josh Culibao,Ricardo Ramos,Ricardo Ramos,UFC 305: Du Plessis vs. Adesanya,Matt Wynne,Decision - Split,1,0,70 of 127,27 of 118,55%,22%,92 of 150,39 of 134,0 of 0,1 of 1,---,100%,0,1,3,5:00,"5' 10""","5' 9""","73""","72""",Orthodox,Orthodox
Casey O'Neill,Luana Santos,Casey O'Neill,UFC 305: Du Plessis vs. Adesanya,Rich Mitchell,Decision - Unanimous,0,0,83 of 193,41 of 97,43%,42%,113 of 227,46 of 102,0 of 2,1 of 5,0%,20%,1,0,3,5:00,"5' 6""","5' 6""","69""","67""",Orthodox,Orthodox
Jack Jenkins,Herbert Burns,Jack Jenkins,UFC 305: Du Plessis vs. Adesanya,Marc Goddard,KO/TKO,2,0,73 of 126,24 of 79,57%,30%,98 of 152,45 of 101,0 of 0,2 of 9,---,22%,0,0,3,0:48,"5' 7""","5' 9""","68""","73""",Switch,Orthodox
Tom Nolan,Alex Reyes,Tom Nolan,UFC 305: Du Plessis vs. Adesanya,Rich Mitchell,Decision - Unanimous,0,0,84 of 176,69 of 140,47%,49%,104 of 198,89 of 161,0 of 0,2 of 5,---,40%,1,0,3,5:00,"6' 3""","5' 11""","73""","73""",Southpaw,Orthodox
Song Kenan,Ricky Glenn,Song Kenan,UFC 305: Du Plessis vs. Adesanya,Jim Perdios,Decision - Unanimous,0,0,87 of 170,40 of 99,51%,40%,113 of 199,67 of 127,1 of 5,2 of 15,20%,13%,0,0,3,5:00,"6' 0""","6' 0""","71""","70""",Orthodox,Southpaw
Stewart Nicoll,Jesus Aguilar,Jesus Aguilar,UFC 305: Du Plessis vs. Adesanya,Steve Perceval,Submission,0,0,8 of 17,3 of 5,47%,60%,15 of 29,3 of 5,1 of 1,0 of 0,100%,---,0,1,1,2:39,"5' 5""","5' 4""","65""","62""",Orthodox,Orthodox
